Risk Incident ID,Risk Title,Risk Description,Source of Register,Severity,Financial Impact,Date & Time of Creation,Potential Breach,Breach PIC,ORE Reportability,ORE PIC,ORE Case ID,Attachments
RI-20260827-C13A3C,Microsoft Teams service disruption,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Medium,Medium,2026-08-10 20:25:04,,,,,,
RI-20260827-7858D4,Network connectivity interruption,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Medium,Low,2026-08-15 12:25:04,,,,,,
RI-20260827-DC22BF,Production server outage,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Low,Medium,2026-08-23 01:25:04,,,,,,
RI-20260827-5DD3EF,Application performance degradation,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Low,Medium,2026-08-08 09:25:04,,,,,,
RI-20260827-629D5D,Database connection failure,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Low,Low,2026-07-30 22:25:04,,,,,,
RI-20260827-8DA158,Technology infrastructure alert,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,High,Low,2026-08-12 19:25:04,,,,,,
RI-20260827-E7E3F4,System authentication failure,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,High,Medium,2026-08-17 12:25:04,,,,,,
RI-20260827-3120C1,Data centre connectivity issue,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Low,Medium,2026-08-16 05:25:04,,,,,,
RI-20260827-5E4B5A,Critical application unavailable,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Low,Low,2026-08-27 08:25:04,,,,,,
RI-20260827-098DBA,Technology monitoring alert,Mock incident generated for Technology Command Centre. This is sample data for testing the centralised risk incident register.,TCC,Medium,Medium,2026-08-17 09:25:04,,,,,,
